epoch,train_loss,val_loss,accuracy
1,0.754,0.903,0.649
2,0.605,0.704,0.751
3,0.513,0.544,0.883
4,0.393,0.474,0.971
5,0.33,0.375,1.0
6,0.307,0.328,1.0
7,0.229,0.272,1.0
8,0.216,0.272,1.0
9,0.156,0.195,1.0
10,0.15,0.151,1.0
11,0.118,0.163,1.0
12,0.118,0.149,1.0
13,0.132,0.166,1.0
14,0.073,0.144,1.0
15,0.11,0.125,1.0
